,count,mean,std,min,25%,50%,75%,max
V0,2888.0,0.123047783933518,0.9280310022766673,-4.335,-0.297,0.359,0.726,2.121
V1,2888.0,0.05606821329639892,0.9415146280282246,-5.122,-0.22625,0.2725,0.599,1.918
V2,2888.0,0.28971987534626037,0.9112356787366735,-3.42,-0.313,0.386,0.91825,2.828
V3,2888.0,-0.06778981994459833,0.9702977637846588,-3.956,-0.65225,-0.0445,0.624,2.457
V4,2888.0,0.012920706371191136,0.88837651104107,-4.742,-0.385,0.11,0.55025,2.689
V5,2888.0,-0.5585647506925209,0.5179571098844122,-2.182,-0.853,-0.466,-0.154,0.489
V6,2888.0,0.18289231301939057,0.9180538499036685,-4.576,-0.31,0.388,0.8312499999999999,1.895
V7,2888.0,0.11615477839335178,0.9551157639544166,-5.048,-0.295,0.344,0.78225,1.918
V8,2888.0,0.17785630193905821,0.8954436814713573,-4.692,-0.159,0.362,0.726,2.245
V9,2888.0,-0.169452216066482,0.9538125152814481,-12.891,-0.39,0.042,0.042,1.335
V10,2888.0,0.03431855955678669,0.9682724897738192,-2.584,-0.4205,0.157,0.61925,4.83
V11,2888.0,-0.36446537396121886,0.8585042152157795,-3.16,-0.80325,-0.112,0.247,1.455
V12,2888.0,0.02317659279778392,0.8940921188477646,-5.165,-0.419,0.123,0.616,2.657
V13,2888.0,0.1957382271468144,0.9227569262971405,-3.675,-0.398,0.2895,0.86425,2.475
V14,2888.0,0.01608137119113571,1.0155851493905106,-2.455,-0.668,-0.161,0.82975,2.558
V15,2888.0,0.09614646814404434,1.0330482798703629,-2.903,-0.66225,-0.0005,0.73,4.314
V16,2888.0,0.11350484764542937,0.9831284999232403,-5.981,-0.3,0.306,0.77425,2.861
V17,2888.0,-0.043457756232686974,0.6558573689547772,-2.224,-0.366,0.165,0.43,2.023
V18,2888.0,0.05503393351800555,0.953466439737527,-3.582,-0.3675,0.082,0.51325,4.441
V19,2888.0,-0.11488400277008314,1.1088587445315958,-3.704,-0.9875,-0.0005,0.73725,3.431
V20,2888.0,-0.1862264542936288,0.7885112927851025,-3.402,-0.6755,-0.1565,0.304,3.525
V21,2888.0,-0.056555747922437664,0.7814707007888424,-2.643,-0.517,-0.0565,0.4315,2.259
V22,2888.0,0.3028930055401662,0.6391856185136604,-1.375,-0.063,0.2165,0.872,2.018
V23,2888.0,0.15597783933518003,0.9787574289926764,-5.542,0.09725,0.338,0.36824999999999997,1.906
V24,2888.0,-0.021813019390581712,1.0334034445764022,-1.344,-1.191,0.095,0.93125,2.423
V25,2888.0,-0.05167867036011082,0.9159574906237473,-3.808,-0.55725,-0.076,0.356,7.284
V26,2888.0,0.07209245152354571,0.8897713515026081,-5.131,-0.452,0.075,0.64425,2.98
V27,2888.0,0.27240685595567865,0.27037421433197517,-1.164,0.15775,0.325,0.442,0.925
V28,2888.0,0.1377122576177285,0.9298985321970477,-2.435,-0.455,-0.447,0.73,4.671
V29,2888.0,0.0976481994459834,1.0611999734454756,-2.912,-0.664,-0.023,0.74525,4.58
V30,2888.0,0.055476800554016624,0.9019342990989482,-4.507,-0.283,0.0535,0.488,2.689
V31,2888.0,0.12779051246537396,0.8730284648687531,-5.859,-0.17025,0.2995,0.635,2.013
V32,2888.0,0.020805747922437678,0.9025836797409627,-4.053,-0.40725,0.039,0.557,2.395
V33,2888.0,0.007800554016620476,1.0069953309267026,-4.627,-0.499,-0.04,0.462,5.465
V34,2888.0,0.006715027700831025,1.003290847797691,-4.789,-0.29,0.16,0.273,5.11
V35,2888.0,0.19776385041551245,0.9856747870967627,-5.695,-0.2025,0.364,0.602,2.324
V36,2888.0,0.030657894736842117,0.9708121386349451,-2.608,-0.413,0.137,0.64425,5.238
V37,2888.0,-0.13032963988919666,1.0171958265550816,-3.63,-0.79825,-0.1855,0.49524999999999997,3.0
target,2888.0,0.12635283933518002,0.983965696389808,-3.044,-0.35024999999999995,0.313,0.79325,2.538
