feature,correlation
V0,0.8732120204980028
V1,0.8718464116220461
V8,0.8319039887173579
V27,0.8125849145270946
V31,0.7502966573167493
V2,0.6388778036446796
V4,0.6039841337156044
V12,0.5941887781631896
V37,-0.5657952409366938
V16,0.536748081535153
V3,0.5120744665905774
V20,0.44496512160271295
V10,0.39476688483559585
V6,0.3700371735993088
V36,0.3193088651277794
V5,-0.3146757696625033
V7,0.2878154231965718
V24,-0.26481496740102
V11,-0.2639878273510743
V23,0.22633128016442972
V13,0.20337321002819997
V30,0.1873108489250741
V18,0.1707205902574165
V15,0.15402001852298258
V35,0.14029421660636687
V9,0.13970402842806323
V29,0.12332930812757843
V19,-0.11497646715773302
V22,-0.10781265587778618
V17,0.10460478722050395
V28,0.10008024901167939
V33,0.07727294809713314
V32,0.06660576527565715
V26,-0.046724151245056474
V25,-0.019372674350324103
V21,-0.01006330171703287
V14,0.00842353485681277
V34,-0.0060341550238619404
