feature,outlier_count,outlier_ratio
V9,835,0.28912742382271467
V23,700,0.24238227146814403
V34,488,0.16897506925207756
V1,220,0.07617728531855955
V33,217,0.07513850415512466
V31,191,0.06613573407202217
V8,184,0.06371191135734072
V18,179,0.061980609418282546
V10,177,0.06128808864265928
V36,167,0.05782548476454294
V35,153,0.052977839335180056
V27,151,0.05228531855955679
V30,147,0.05090027700831025
V16,134,0.046398891966759004
V0,128,0.0443213296398892
V4,126,0.04362880886426593
V7,121,0.04189750692520776
V25,114,0.039473684210526314
V32,90,0.031163434903047092
V12,90,0.031163434903047092
V6,85,0.02943213296398892
V28,76,0.02631578947368421
V11,69,0.02389196675900277
V20,56,0.019390581717451522
V26,53,0.018351800554016622
V21,36,0.012465373961218837
V29,35,0.012119113573407203
V13,33,0.011426592797783934
V3,29,0.010041551246537396
V17,28,0.009695290858725761
V15,27,0.009349030470914127
V37,27,0.009349030470914127
V5,20,0.006925207756232687
V2,12,0.004155124653739612
V19,2,0.0006925207756232687
V14,0,0.0
V22,0,0.0
V24,0,0.0
