param_ridge__alpha,mean_test_score,std_test_score,rank_test_score,mean_mse
0.01,-0.13075608301741964,0.026818409524795077,7,0.13075608301741964
0.1,-0.13073536767958796,0.026824019473413546,6,0.13073536767958796
0.5,-0.1306535936163549,0.026844825526036186,5,0.1306535936163549
1.0,-0.13057163122601453,0.026863152186898054,3,0.13057163122601453
2.0,-0.13045931115919635,0.02688199950809746,2,0.13045931115919635
5.0,-0.13036913621734353,0.026866625276831237,1,0.13036913621734353
10.0,-0.13057766930331852,0.026766250089915455,4,0.13057766930331852
20.0,-0.1313505410674799,0.02655471726239394,8,0.1313505410674799
50.0,-0.13370455518229668,0.026114674188432926,9,0.13370455518229668
100.0,-0.13654568325852842,0.025559386924510527,10,0.13654568325852842
