feature,mean_abs_shap
V0,0.3289296
V1,0.17939894
V2,0.097769804
V3,0.09048649
V10,0.06495828
V27,0.061548762
V8,0.03621644
V37,0.026865857
V12,0.020765094
V25,0.015467109
V21,0.014788554
V31,0.013824706
V14,0.013753833
V22,0.013481169
V9,0.012472822
V18,0.012425849
V24,0.010828373
V6,0.009979999
V36,0.009746503
V28,0.0082508465
V4,0.00823338
V7,0.00779377
V17,0.006922844
V33,0.00541465
V29,0.004615113
V16,0.004139977
V5,0.003972647
V15,0.0037992867
V35,0.0027580515
V19,0.0026966194
V34,0.0024218778
V23,0.0024108274
V20,0.0023348907
V30,0.0019353448
V32,0.0014858353
V26,0.0012151309
V13,0.0005015135
V11,0.00045830972
