,V0,V1,V8,V27,V31,V2,V4,V12,V37,V16,target
V0,1.0,0.9086071612616261,0.794012734962524,0.7331975891349626,0.6750028811925045,0.46364323624217924,0.7812117667310905,0.7518299323493023,-0.4940761547076846,0.34735655482141103,0.8732120204980028
V1,0.9086071612616261,1.0,0.874649929103114,0.8241978964477793,0.7697454841297475,0.5065141922192788,0.6577898246213925,0.656185744126174,-0.4940431263353246,0.4356058137529479,0.8718464116220461
V8,0.794012734962524,0.874649929103114,1.0,0.9010999468415732,0.8780720192952244,0.7034309009985422,0.4495416437633556,0.4205565655318179,-0.5531211754528034,0.6800307883684464,0.8319039887173579
V27,0.7331975891349626,0.8241978964477793,0.9010999468415732,1.0,0.7902390489220892,0.7262496815970343,0.4120829496815309,0.37437991696120465,-0.6177712054622639,0.6508101765189725,0.8125849145270946
V31,0.6750028811925045,0.7697454841297475,0.8780720192952244,0.7902390489220892,1.0,0.6537639645948378,0.4470158542067455,0.44196266610714063,-0.3577850013805682,0.7785378105557696,0.7502966573167493
V2,0.46364323624217924,0.5065141922192788,0.7034309009985422,0.7262496815970343,0.6537639645948378,1.0,0.057696765230250815,0.05994126071306546,-0.7349556512442857,0.7824735654550766,0.6388778036446796
V4,0.7812117667310905,0.6577898246213925,0.4495416437633556,0.4120829496815309,0.4470158542067455,0.057696765230250815,1.0,0.9276852554024934,-0.031053809900476827,0.023817778415064238,0.6039841337156044
V12,0.7518299323493023,0.656185744126174,0.4205565655318179,0.37437991696120465,0.44196266610714063,0.05994126071306546,0.9276852554024934,1.0,-0.05482737309303567,0.025735863711636293,0.5941887781631896
V37,-0.4940761547076846,-0.4940431263353246,-0.5531211754528034,-0.6177712054622639,-0.3577850013805682,-0.7349556512442857,-0.031053809900476827,-0.05482737309303567,1.0,-0.4200529410089273,-0.5657952409366938
V16,0.34735655482141103,0.4356058137529479,0.6800307883684464,0.6508101765189725,0.7785378105557696,0.7824735654550766,0.023817778415064238,0.025735863711636293,-0.4200529410089273,1.0,0.536748081535153
target,0.8732120204980028,0.8718464116220461,0.8319039887173579,0.8125849145270946,0.7502966573167493,0.6388778036446796,0.6039841337156044,0.5941887781631896,-0.5657952409366938,0.536748081535153,1.0
